"ProductId","ProductName","Category","UnitCost","UnitPrice_v2","Discontinued"
"1","Product_001","Services","177.43","235.98","FALSE"
"2","Product_002","Consumables","106.44","160.72","FALSE"
"3","Product_003","Services","80.09","128.14","FALSE"
"4","Product_004","Licences","270.29","405.44","FALSE"
"5","Product_005","Consumables","253.43","357.34","FALSE"
"6","Product_006","Hardware","405.77","555.9","FALSE"
"7","Product_007","Hardware","699.21","839.05","FALSE"
"8","Product_008","Consumables","629.09","1107.2","FALSE"
"9","Product_009","Hardware","165.75","266.86","FALSE"
"10","Product_010","Services","373.07","511.11","FALSE"
"11","Product_011","Services","654.69","962.39","FALSE"
"12","Product_012","Software","187.78","315.47","FALSE"
"13","Product_013","Consumables","781.69","1141.27","FALSE"
"14","Product_014","Licences","52.96","67.26","FALSE"
"15","Product_015","Consumables","834.25","1001.1","FALSE"
"16","Product_016","Software","884.18","1061.02","FALSE"
"17","Product_017","Services","376.73","572.63","FALSE"
"18","Product_018","Hardware","758.53","1251.57","FALSE"
"19","Product_019","Consumables","532.85","927.16","FALSE"
"20","Product_020","Licences","704.56","1254.12","FALSE"
"21","Product_021","Licences","422.13","645.86","FALSE"
"22","Product_022","Licences","295.68","479","FALSE"
"23","Product_023","Software","352.33","623.62","FALSE"
"24","Product_024","Hardware","263.16","350","FALSE"
"25","Product_025","Software","128.29","170.63","FALSE"
"26","Product_026","Consumables","86.15","122.33","FALSE"
"27","Product_027","Consumables","785.56","1044.79","FALSE"
"28","Product_028","Software","9","11.43","FALSE"
"29","Product_029","Consumables","273.45","467.6","FALSE"
"30","Product_030","Consumables","662.59","967.38","FALSE"
"31","Product_031","Consumables","570.26","958.04","FALSE"
"32","Product_032","Services","372.43","480.43","FALSE"
"33","Product_033","Services","764.14","1138.57","FALSE"
"34","Product_034","Services","576.74","997.76","TRUE"
"35","Product_035","Software","293.64","372.92","FALSE"
"36","Product_036","Consumables","319.13","395.72","FALSE"
"37","Product_037","Services","801.75","1322.89","FALSE"
"38","Product_038","Software","669.49","957.37","FALSE"
"39","Product_039","Services","862.56","1138.58","FALSE"
"40","Product_040","Services","311.91","514.65","FALSE"
"41","Product_041","Licences","850.19","1343.3","FALSE"
"42","Product_042","Software","88.81","149.2","FALSE"
"43","Product_043","Services","547.31","848.33","FALSE"
"44","Product_044","Licences","718.55","970.04","FALSE"
"45","Product_045","Consumables","896.84","1381.13","FALSE"
"46","Product_046","Hardware","108.41","155.03","TRUE"
"47","Product_047","Licences","248.16","315.16","FALSE"
"48","Product_048","Hardware","404.73","489.72","FALSE"
"49","Product_049","Hardware","635.82","794.78","FALSE"
"50","Product_050","Consumables","175.76","284.73","TRUE"
"51","Product_051","Consumables","864.07","1365.23","FALSE"
"52","Product_052","Services","463.9","616.99","FALSE"
"53","Product_053","Services","869.64","1287.07","FALSE"
"54","Product_054","Licences","823.14","1012.46","FALSE"
"55","Product_055","Services","870.21","1374.93","FALSE"
